Date,Group A Offenses,Violent Offenses,CA Person,CA Property,CA Society,Female Arrest Distribution,Male Arrest Distribution,Adult Arrest Distribution,Juvenile Arrest Distribution,Total Arrest Distribution,Felony Filings,Misdemeanor Filings,Misdemeanor Closed,Domestic Violence Filings*,DUI Filings,Juvenile Filings,Parole population,Prison population,Felony Probation Caseload,Total Probation Caseload,Jail Bookings,Average Daily Jail Population,Pretrial Supervision,Sentences to prison,Pretrial Investigations,Pretrial Jail Bookings,Bookings Investigated,Felony admissions to probation,Cases w/detainable no petition,Cases w/detainable petition filed,Cases w/no detainable charges,Petition to detain granted,Petition to detain denied,Percent petitioned,Percent petitioned detained,Order of Protection
2022 Q1,4735,560,1608,2494,633,514,1433,1748,199,1947,731,486,702,103,214,90,729,905,1596.666667,1977.666667,2055,765.3333333,999.6666667,89,756,1906,0.396642183,253,,,,,,,,648
2022 Q2,5461,679,1939,2866,656,592,1606,1970,228,2198,830,522,867,116,207,105,744,905,1583,1973.333333,2156,763,1151.666667,97,863,2022,0.426805143,240,,,,,,,,808
2022 Q3,5406,685,2009,2795,602,539,1554,1931,161,2093,844,537,659,148,212,95,747,938,1550.333333,1918.333333,2258,783,1185.666667,113,861,2118,0.406515581,284,,,,,,,,801
2022 Q4,4775,578,1712,2574,489,557,1332,1670,219,1889,652,494,385,102,208,96,728,932,1520.666667,1864.666667,1812,771,1245.333333,97,718,1701,0.422104644,224,,,,,,,,644
2023 Q1,4562,496,1625,2343,594,563,1412,1722,253,1975,742,575,523,118,180,89,695,948,1540.333333,1879,2064,786.3333333,1285.666667,123,756,1850,0.408648649,267,,,,,,,,695
2023 Q2,5213,520,1885,2758,570,645,1638,2054,229,2283,800,673,743,152,217,127,668,971,1582,1940,2304,831.6666667,1198.333333,154,863,2160,0.399537037,299,,,,,,,,918
2023 Q3,5375,546,1928,2892,555,598,1590,1970,218,2188,755,769,766,148,185,124,629,1007,1596.333333,1973.333333,2252,804,1163,137,861,2090,0.411961722,308,43,62,117,36,30,0.59047619,0.545454545,902
2023 Q4,5150,499,1858,2733,559,643,1555,1947,251,2198,795,567,649,157,209,102,579,1017,1636,2011.666667,2078,729.6666667,1240,113,718,1925,0.372987013,263,266,280,817,149,136,0.512820513,0.522807018,792
2024 Q1,4532,432,1744,2260,533,636,1547,2002,189,2183,800,572,754,167,229,64,596,976,1676,2050,2163,770.5,1286,90,772,2116,0.364839319,331,243,266,661,187,88,0.52259332,0.68,801
2024 Q2,5240,558,2002,2722,531,613,1737,2158,195,2350,809,658,751,208,192,97,578,1012,1706,2086.333333,2110,764.3333333,1337.666667,130,741,2128,0.348214286,259,274,290,697,169,117,0.514184397,0.590909091,969
2024 Q3,5234,508,1963,2826,464,593,1592,2055,137,2185,835,659,675,217,195,91,581,1029,1680.666667,2075,2291,759.6666667,1354.666667,108,865,2041,0.423811857,242,340,261,712,150,123,0.434276206,0.549450549,933
2024 Q4,4534,457,1783,2405,427,615,1531,1964,193,2146,797,662,584,186,209,101,589,1008,1657.666667,2091.333333,2137,720.6666667,1395.333333,108,804,1939,0.414646725,267,296,212,632,139,83,0.417322835,0.626126126,914
2025 Q1,,,1494,2163,,,,2061,180,,824,554,,162,236,88,571,1050,1608.333333,2053,2222,705,1359,131,,,,275,244,220,626,159,67,0.474137931,0.703539823,
2025 Q2,,,1816,2669,,,,2147,158,,913,687,,170,184,106,538,1074,,,2461,713.3333333,,120,,,,236,337,213,781,150,84,0.387272727,0.641025641,
